Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,604,1.0,0.0,0.0,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.05,0.0248,0.0244,0.0282,604,0.967,0.0,0.0331,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.1,0.053,0.0488,0.0845,604,0.937,0.0,0.0629,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.15,0.0944,0.0938,0.0986,604,0.891,0.0,0.109,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.2,0.137,0.135,0.155,604,0.846,0.0,0.154,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.25,0.19,0.184,0.239,604,0.786,0.0,0.214,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.3,0.23,0.223,0.282,604,0.743,0.0,0.257,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.35,0.28,0.268,0.366,604,0.68,0.0,0.32,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.4,0.326,0.315,0.408,604,0.629,0.0,0.371,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.45,0.376,0.366,0.451,604,0.571,0.0,0.429,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.5,0.424,0.417,0.479,604,0.517,0.0,0.483,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.55,0.469,0.462,0.521,604,0.46,0.0,0.54,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.6,0.525,0.518,0.577,604,0.379,0.0,0.621,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.65,0.583,0.572,0.662,604,0.303,0.0,0.697,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.7,0.642,0.629,0.746,604,0.209,0.0,0.791,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.75,0.694,0.681,0.789,604,0.114,0.0,0.886,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.8,0.752,0.739,0.845,604,0.0132,0.0149,0.972,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.85,0.805,0.792,0.901,604,0.0,0.167,0.833,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.9,0.863,0.848,0.972,604,0.0,0.389,0.611,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
0.95,0.917,0.908,0.986,604,0.0,0.631,0.369,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
1.0,1.0,1.0,1.0,604,0.0,1.0,0.0,0.752,0.163,0.915,0.523,0.0149,0.972,6455,-1,A1A2mix,61,123456789
