Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,549,1.0,0.0,0.0,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.05,0.0492,0.0525,0.0326,549,0.944,0.0,0.0565,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.1,0.0893,0.0919,0.0761,549,0.898,0.0,0.102,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.15,0.133,0.133,0.13,549,0.847,0.0,0.153,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.2,0.173,0.173,0.174,549,0.798,0.0,0.202,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.25,0.217,0.217,0.217,549,0.736,0.0,0.264,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.3,0.264,0.269,0.239,549,0.659,0.0,0.341,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.35,0.315,0.317,0.304,549,0.592,0.0,0.408,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.4,0.368,0.368,0.37,549,0.526,0.0,0.474,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.45,0.412,0.407,0.435,549,0.454,0.0,0.546,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.5,0.464,0.46,0.489,549,0.379,0.0,0.621,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.55,0.514,0.505,0.554,549,0.299,0.0,0.701,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.6,0.561,0.556,0.587,549,0.209,0.0,0.791,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.65,0.612,0.606,0.641,549,0.102,0.0,0.898,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.7,0.654,0.646,0.696,549,0.00364,0.00182,0.995,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.75,0.705,0.696,0.75,549,0.0,0.0984,0.902,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.8,0.761,0.757,0.783,549,0.0,0.26,0.74,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.85,0.818,0.814,0.837,549,0.0,0.437,0.563,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.9,0.878,0.875,0.891,549,0.0,0.632,0.368,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
0.95,0.938,0.939,0.935,549,0.0,0.8,0.2,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
1.0,1.0,1.0,1.0,549,0.0,1.0,0.0,0.761,0.267,0.864,0.602,0.26,0.74,5729,-1,A2_CE,79,123456789
