Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,549,1.0,0.0,0.0,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.05,0.0455,0.0525,0.0109,549,0.951,0.0,0.0492,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.1,0.0801,0.0897,0.0326,549,0.911,0.0,0.0893,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.15,0.118,0.123,0.0978,549,0.863,0.0,0.137,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.2,0.16,0.164,0.141,549,0.814,0.0,0.186,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.25,0.193,0.19,0.207,549,0.769,0.0,0.231,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.3,0.246,0.249,0.228,549,0.696,0.0,0.304,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.35,0.29,0.295,0.261,549,0.628,0.0,0.372,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.4,0.33,0.337,0.293,549,0.574,0.0,0.426,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.45,0.388,0.387,0.391,549,0.492,0.0,0.508,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.5,0.441,0.435,0.467,549,0.415,0.0,0.585,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.55,0.485,0.47,0.554,549,0.341,0.0,0.659,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.6,0.521,0.512,0.565,549,0.266,0.0,0.734,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.65,0.577,0.567,0.63,549,0.16,0.0,0.84,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.7,0.623,0.611,0.685,549,0.0492,0.0,0.951,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.75,0.663,0.646,0.75,549,0.0,0.0383,0.962,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.8,0.725,0.713,0.783,549,0.0,0.199,0.801,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.85,0.787,0.777,0.837,549,0.0,0.353,0.647,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.9,0.856,0.851,0.88,549,0.0,0.576,0.424,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
0.95,0.925,0.923,0.935,549,0.0,0.781,0.219,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
1.0,1.0,1.0,1.0,549,0.0,1.0,0.0,0.725,0.253,0.879,0.579,0.199,0.801,5729,-1,A1,82,123456789
